OrderID,Date,CustomerID,ProductID,Region,Quantity,SalesAmount,Profit
O100000,2023-10-22,C0187,P036,East,3,1203.689175201755,119.3356637237645
O100001,2022-05-27,C0148,P032,East,4,632.1653100221538,186.27972785083423
O100002,2023-05-04,C0161,P040,West,7,1968.185895928566,515.314767244763
O100003,2022-12-04,C0104,P001,East,9,4519.163059403949,1256.3990655437567
O100004,2023-04-18,C0178,P023,East,3,2881.739649038891,246.4999885832199
O100005,2022-09-20,C0144,P026,West,9,6755.118855370368,694.6220474829197
O100006,2024-05-30,C0002,P001,West,5,4227.273703257113,851.1790867993284
O100007,2024-11-26,C0160,P009,North,3,1048.693521647485,183.97708156449048
O100008,2024-03-26,C0131,P020,West,6,4292.644348248918,534.9744405036781
O100009,2023-09-20,C0075,P049,West,4,3504.777316160787,949.6599813809767
O100010,2022-04-14,C0084,P035,West,9,4783.233270662335,1317.04966743962
O100011,2022-04-09,C0153,P029,South,2,973.8053484153655,119.7011297027712
O100012,2024-04-01,C0163,P016,North,9,6727.176558797408,598.303547027164
O100013,2022-06-10,C0068,P033,South,5,3019.6025881013584,263.53009431115174
O100014,2024-03-26,C0148,P008,East,3,2981.5619246239185,510.1640257084729
O100015,2023-02-05,C0128,P033,West,3,1447.7775619671165,120.49798190148286
O100016,2023-04-15,C0119,P022,South,6,1550.0936975549275,260.935108645011
O100017,2022-08-18,C0109,P008,East,2,1049.4830950153632,173.67215487027204
O100018,2024-03-08,C0097,P028,East,1,311.6844937879582,84.47508575334017
O100019,2023-03-29,C0061,P048,East,4,2420.513754860204,300.2710487103052
O100020,2023-07-01,C0192,P049,West,1,213.21729319415124,40.546064573226325
O100021,2022-06-07,C0046,P006,East,9,8594.807815748407,2027.3000019266283
O100022,2024-11-26,C0024,P029,North,5,4369.202966930724,869.3783209890275
O100023,2023-08-30,C0099,P033,West,5,1200.0442869899168,346.2331310417946
O100024,2024-07-16,C0161,P003,West,2,510.30726094461744,102.35200589784661
O100025,2023-07-20,C0058,P003,West,8,4489.558456313718,1236.7186652606865
O100026,2023-09-18,C0032,P047,South,7,5569.152738362868,619.6467522345934
O100027,2024-08-19,C0127,P027,South,2,594.342804201553,113.03698406945927
O100028,2024-02-24,C0104,P033,North,6,929.247285621472,172.67875366210419
O100029,2024-11-28,C0170,P026,East,2,1181.9616978487072,351.47170890272514
O100030,2024-07-09,C0152,P013,West,7,5057.061818842663,511.40335824287797
O100031,2022-02-05,C0173,P020,North,8,2559.4315373075624,218.18731444789094
O100032,2023-05-27,C0144,P014,West,3,2297.373026926723,466.1783844644253
O100033,2023-04-16,C0143,P028,South,2,1911.1588129002955,202.43574342142202
O100034,2023-12-28,C0191,P022,East,9,2010.3029857523302,421.73912421770154
O100035,2023-07-29,C0190,P022,South,6,3359.5569526669547,984.7609673154994
O100036,2022-11-01,C0180,P042,South,6,906.946533680546,259.9549095924221
O100037,2024-09-29,C0188,P037,North,8,2287.9592520611523,246.58653845644554
O100038,2024-12-12,C0060,P044,West,5,904.1870905748297,83.83992249869297
O100039,2024-02-13,C0109,P032,West,3,1390.8178823165467,264.5124510916028
O100040,2024-04-02,C0168,P016,North,2,1677.4972226745638,329.95417896443973
O100041,2023-09-28,C0106,P030,East,1,619.4174054696032,133.52317552014563
O100042,2022-04-30,C0063,P019,West,7,2102.2844741422136,494.8204390619609
O100043,2024-01-11,C0117,P023,East,9,1224.896241475357,245.272399856087
O100044,2024-10-09,C0129,P001,East,2,1196.1167515161553,93.22324752114174
O100045,2023-07-14,C0089,P040,North,5,1097.5852174575696,271.6956878612033
O100046,2024-06-15,C0016,P039,West,5,2042.3031231369075,142.71470473126973
O100047,2024-02-29,C0093,P003,West,3,1677.519099066736,92.26048319608381
O100048,2024-09-23,C0086,P029,South,5,4566.796410587866,1107.0578929460553
O100049,2024-12-06,C0094,P046,South,4,694.5639775193811,129.94552733055068
